cohort,cohort_label,pi_stable,method,method_label,brier,ece,auroc,winner_by_brier
UCSF-POSTOP,UCSF,0.8108108108108109,heat_prior_no_training,Heat prior,0.10794436235005993,0.1070977067467099,0.9337093504652761,heat_prior_no_training
UCSF-POSTOP,UCSF,0.8108108108108109,mask_heat_sdf,Mask+heat+SDF U-Net,0.14122149526972222,0.2110792926538386,0.9277648299550826,heat_prior_no_training
UCSF-POSTOP,UCSF,0.8108108108108109,raw4,Raw MRI U-Net,0.2556404493296066,0.260659838482216,0.7721556900879794,heat_prior_no_training
UCSF-POSTOP,UCSF,0.8108108108108109,raw4_mask,Raw MRI+mask U-Net,0.14512832631432526,0.19263454481572923,0.9143055587130292,heat_prior_no_training
UCSF-POSTOP,UCSF,0.8108108108108109,raw4_mask_heat_sdf,Raw MRI+mask+heat+SDF U-Net,0.14406874853916266,0.1769641288262284,0.9110589216132925,heat_prior_no_training
MU-Glioma-Post,MU,0.3443708609271523,heat_prior_no_training,Heat prior,0.2790611436874266,0.26740256553539415,0.7515506158940038,raw4_mask
MU-Glioma-Post,MU,0.3443708609271523,mask_heat_sdf,Mask+heat+SDF U-Net,0.2745698071670848,0.27287977424068377,0.716313718266227,raw4_mask
MU-Glioma-Post,MU,0.3443708609271523,raw4,Raw MRI U-Net,0.3074985948076706,0.31733595692511474,0.6989861675480987,raw4_mask
MU-Glioma-Post,MU,0.3443708609271523,raw4_mask,Raw MRI+mask U-Net,0.2742202646586279,0.2735234343987289,0.7088171231548533,raw4_mask
MU-Glioma-Post,MU,0.3443708609271523,raw4_mask_heat_sdf,Raw MRI+mask+heat+SDF U-Net,0.2900016324606952,0.2867928420533747,0.7121716015665072,raw4_mask
RHUH-GBM,RHUH,0.2894736842105263,heat_prior_no_training,Heat prior,0.5037207326998836,0.3999447784084612,0.6418755977459715,raw4_mask
RHUH-GBM,RHUH,0.2894736842105263,mask_heat_sdf,Mask+heat+SDF U-Net,0.3923020602056855,0.4330997504587514,0.6354741510457749,raw4_mask
RHUH-GBM,RHUH,0.2894736842105263,raw4,Raw MRI U-Net,0.4285284789573205,0.4663907849801417,0.5829045374235432,raw4_mask
RHUH-GBM,RHUH,0.2894736842105263,raw4_mask,Raw MRI+mask U-Net,0.3917937733625111,0.43133844244831876,0.6335204778252251,raw4_mask
RHUH-GBM,RHUH,0.2894736842105263,raw4_mask_heat_sdf,Raw MRI+mask+heat+SDF U-Net,0.3942266841860194,0.4342803440008068,0.6248594406592279,raw4_mask
UCSD-PTGBM,UCSD,0.24324324324324326,heat_prior_no_training,Heat prior,0.16542996143972552,0.18746698445092427,0.5912872655404997,heat_prior_no_training
UCSD-PTGBM,UCSD,0.24324324324324326,mask_heat_sdf,Mask+heat+SDF U-Net,0.2022587752246575,0.22358322587421223,0.5874650241266691,heat_prior_no_training
UCSD-PTGBM,UCSD,0.24324324324324326,raw4,Raw MRI U-Net,0.35830013688049606,0.4562911865669038,0.5166875704523471,heat_prior_no_training
UCSD-PTGBM,UCSD,0.24324324324324326,raw4_mask,Raw MRI+mask U-Net,0.20260153619007748,0.24617191761491217,0.6065988148566244,heat_prior_no_training
UCSD-PTGBM,UCSD,0.24324324324324326,raw4_mask_heat_sdf,Raw MRI+mask+heat+SDF U-Net,0.20894849792317916,0.2570803419191199,0.5936274168377744,heat_prior_no_training
